Nº Registro;Tipo;Estado;F.Solicitud;Origen;Unidad;Provincia;Referencia
2021-0096;Queja;Contestado;2021-02-05;WEB;CONSEJERIA DE INDUSTRIA, COMERCIO Y EMPLEO;SERVICIOS CENTRALES;QUEJA
2021-0099;Sugerencia;Remitido Órgano;2021-02-05;Servicio 012;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Concurso cuerpo de maestros.
2021-0088;Queja;Contestado;2021-02-04;WEB;CONSEJERIA DE INDUSTRIA, COMERCIO Y EMPLEO;VALLADOLID;Queja por no entrega diploma curso
2021-0092;Queja;Prestacional;2021-02-04;LIBRO;GERENCIA REGIONAL DE SALUD;ZAMORA;Le realizaron una biopsia, no se le puso antibiótico y coge infección a causa de ello.
2021-0089;Queja;Contestado;2021-02-04;WEB;CONSEJERIA DE ECONOMIA Y HACIENDA;LEÓN;Demora en devolución rectificación modelo 650
2021-0091;Queja;Contestado;2021-02-04;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Solicitud participación programa RELEO PLUS.
2021-0090;Queja;Contestado;2021-02-04;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;Falta contestación escrito
2021-0093;Sugerencia;Anulada;2021-02-04;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;LEÓN;Anónima y redactada en latín
2021-0094;Sugerencia;Contestado;2021-02-04;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;uso obligatorio mascarillas
2021-0087;Queja;Contestado;2021-02-03;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;--
2021-0086;Queja;Contestado;2021-02-03;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;--
2021-0084;Queja;Contestado;2021-02-02;WEB;SERVICIO PUBLICO DE EMPLEO;VALLADOLID;TRATO RECIBIDO FUNCIONARIA O.E. Pº ZORRILLA
2021-0085;Queja;Remitido Órgano;2021-02-02;WEB;CONSEJERIA DE ECONOMIA Y HACIENDA;SERVICIOS CENTRALES;Queja por la no supresión I / sucesiones y donaciones
2021-0083;Queja;Contestado;2021-02-02;Servicio 012;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Ayudas contratatación predoctoral personal investigador.
2021-0079;Queja;Anulada;2021-02-01;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;LEÓN;No competencia Servicio Territorial. En todo caso competencia Consejería
2021-0080;Queja;Contestado;2021-02-01;WEB;CONSEJERIA DE CULTURA Y TURISMO;SEGOVIA;El interesado se queja de no cobrar la ayuda
2021-0081;Queja;Contestado;2021-02-01;LIBRO;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;LEÓN;Contestación urgente a solicitud formulada por correo electrónico el día 21 de enero de 2021
2021-0082;Queja;Contestado;2021-02-01;ESCRITO;GERENCIA REGIONAL DE SALUD;LEÓN;Se continua sin dar cita médica a su madre
2021-0078;Queja;Anulada;2021-02-01;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;LEÓN;No competencia Servicio Teritorial. En todo caso competencia Consejería
2021-0077;Sugerencia;Prestacional;2021-01-31;WEB;GERENCIA REGIONAL DE SALUD;BURGOS;Datos de los contactos por COVID en Centros de Día
2021-0074;Queja;Contestado;2021-01-29;Servicio 012;CONSEJERIA DE EDUCACION;VALLADOLID;RETRASO AUTOBUS ESCOLAR
2021-0075;Queja;Contestado;2021-01-29;LIBRO;EPDP - INSTITUTO TECNOLOGICO AGRARIO;LEÓN;No entrega justificante solicitado
2021-0076;Queja;Contestado;2021-01-29;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;PALENCIA;Ventanilla de presentación de documentos cerrada
2021-0072;Queja;Contestado;2021-01-29;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Modelo solicitud programa Releo +.
2021-0073;Queja;Contestado;2021-01-29;Servicio 012;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;QUEJA SOBRE NUEVO SISTEMA DE ELECCIÓN DE COTOS.
2021-0070;Queja;Contestado;2021-01-28;WEB;CONSEJERIA DE EDUCACION;ZAMORA;NO SABEMOS QUÉ PROCEDIMIENTO TENEMOS QUE SEGUIR.
2021-0071;Sugerencia;Contestado;2021-01-28;Servicio 012;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;---
2021-0067;Queja;Contestado;2021-01-27;Servicio 012;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;CEBOS UTILIZADOS PARA PESCA
2021-0068;Queja;Prestacional;2021-01-27;WEB;CONSEJERIA DE SANIDAD;SEGOVIA;
2021-0066;Queja;Contestado;2021-01-27;Servicio 012;CONSEJERIA DE INDUSTRIA, COMERCIO Y EMPLEO;SERVICIOS CENTRALES;QUEJA
2021-0069;Queja;Prestacional;2021-01-27;WEB;CONSEJERIA DE SANIDAD;SEGOVIA;
2021-0064;Queja;Contestado;2021-01-26;Servicio 012;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;MAL FUNCIONAMIENTO DE APLICACIÓN DE SUBVENCIÓN IAPA 3065
2021-0065;Sugerencia;Contestado;2021-01-26;Servicio 012;CONSEJERIA DE ECONOMIA Y HACIENDA;SERVICIOS CENTRALES;ampliacion plazo de I /sucesiones
2021-0062;Queja;Contestado;2021-01-25;Servicio 012;GERENCIA DE SERVICIOS SOCIALES;AVILA;CITA PREVIA PARA REALIZACIÓN SERVICIO DE REGISTRO UNIONES HECHO
2021-0063;Queja;Contestado;2021-01-25;WEB;CONSEJERIA DE CULTURA Y TURISMO;PALENCIA;iNSISTE EN QUE LE DEN LA AYUDA ECONÓMICA
2021-0061;Sugerencia;Contestado;2021-01-24;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;----
2021-0059;Queja;Contestado;2021-01-22;ESCRITO;CONSEJERIA DE EDUCACION;ZAMORA;En ninguno de los documentos figura que tuviese que ir acompañada por padre, madre o tutor.
2021-0060;Queja;Contestado;2021-01-22;WEB;CONSEJERIA DE INDUSTRIA, COMERCIO Y EMPLEO;SERVICIOS CENTRALES;QUEJA
2021-0057;Queja;Contestado;2021-01-21;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;---
2021-0058;Queja;Contestado;2021-01-21;Servicio 012;CONSEJERIA DE INDUSTRIA, COMERCIO Y EMPLEO;SERVICIOS CENTRALES;QUEJA
2021-0052;Queja;Contestado;2021-01-20;LIBRO;CONSEJERIA DE ECONOMIA Y HACIENDA;LEÓN;No atención con cita previa (9.40 horas)
2021-0053;Queja;Contestado;2021-01-20;Servicio 012;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;RESERVA DE FECHA PARA COTOS DE PESCA DE VILLAFELIZ (LEÓN)
2021-0054;Queja;Contestado;2021-01-20;Servicio 012;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;SOLICITA DEVOLUCIÓN DEL IMPORTE DE PERMISOS DE COTOS
2021-0055;Queja;Contestado;2021-01-20;Servicio 012;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;---
2021-0056;Queja;Remitido Órgano;2021-01-20;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;mascotas y toque de queda
2021-0050;Queja;Contestado;2021-01-19;WEB;CONSEJERIA DE INDUSTRIA, COMERCIO Y EMPLEO;VALLADOLID;ERROR INFORMÁTICO EN BOLETINES ELÉCTRICOS
2021-0049;Queja;Contestado;2021-01-19;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;-----
2021-0051;Queja;Contestado;2021-01-19;ESCRITO;CONSEJERIA DE ECONOMIA Y HACIENDA;VALLADOLID;Paralización expediente PGOU SUNC-T03B de Medina de Rioseco (Valladolid)
2021-0045;Queja;Contestado;2021-01-18;Servicio 012;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;incidencia Aplicación Comedores Escolares
2021-0046;Queja;Contestado;2021-01-18;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SEGOVIA;la interesada se queja de la prestación del servicio de la ruta escolar de su hijo
2021-0047;Queja;Contestado;2021-01-18;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;---
2021-0048;Queja;Contestado;2021-01-18;WEB;GERENCIA REGIONAL DE SALUD;VALLADOLID;REEMBOLSO FACTURAS SANITARIAS
2021-0041;Queja;Contestado;2021-01-15;Servicio 012;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;----
2021-0042;Queja;Contestado;2021-01-15;Servicio 012;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;---
2021-0044;Sugerencia;Contestado;2021-01-15;Servicio 012;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;---
2021-0043;Queja;Contestado;2021-01-15;WEB;CONSEJERIA DE CULTURA Y TURISMO;PALENCIA;Solicitud de infromación sobre ayudas
2021-0035;Queja;Anulada;2021-01-14;WEB;CONSEJERIA DE EDUCACION;SEGOVIA;Anulada por estar repetida
2021-0037;Queja;Contestado;2021-01-14;Servicio 012;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;BURGOS;No limpieza de carretera BU-945
2021-0038;Queja;Contestado;2021-01-14;Servicio 012;CONSEJERIA DE ECONOMIA Y HACIENDA;VALLADOLID;UTILIZACIÓN ASEOS PARA EL CIUDADANO EN DELEGACION TERRITORIAL
2021-0036;Queja;Anulada;2021-01-14;WEB;GERENCIA DE SERVICIOS SOCIALES;SERVICIOS CENTRALES;Es de igual contenido otra queja
2021-0039;Queja;Contestado;2021-01-14;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SEGOVIA;El interesado se queja porque el autobús de la línea 5 del servicio metropolitano no llegó los días 2 y 4 de enero e
2021-0040;Sugerencia;Anulada;2021-01-14;WEB;CONSEJERIA DE LA PRESIDENCIA;LEÓN;Anulada por ser igual a la
2021-0028;Queja;Anulada;2021-01-13;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;PALENCIA;RETRASOS EN CONTESTACIÓN DE SOLICITUDES
2021-0031;Queja;Contestado;2021-01-13;WEB;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;LEÓN;Espera para efectuar registro en la calle a cinco grados bajo cero
2021-0034;Sugerencia;Remitido Órgano;2021-01-13;WEB;CONSEJERIA DE SANIDAD;LEÓN;Práctica deporte con mascarilla
2021-0029;Queja;Contestado;2021-01-13;WEB;CONSEJERIA DE INDUSTRIA, COMERCIO Y EMPLEO;LEÓN;Falta contestación a escrito 17 noviembre 2020
2021-0030;Queja;Contestado;2021-01-13;WEB;CONSEJERIA DE EDUCACION;VALLADOLID;QUEJA SOBRE NULA INFORMACIÓN A MAESTRA INTERINA
2021-0032;Queja;Contestado;2021-01-13;ESCRITO;CONSEJERIA DE ECONOMIA Y HACIENDA;SERVICIOS CENTRALES;QUEJA FORMAL POR PARALIZACIÓN DEDUCCIONES AUTONÓMICAS IRPF
2021-0033;Queja;Prestacional;2021-01-13;WEB;GERENCIA DE SERVICIOS SOCIALES;SERVICIOS CENTRALES;Se presentó una reclamación en los mismos términos en el Portal de salud de la Junta de Castilla y León, que se contestó el 28/01/2021 por el Gerente del Hospital Clínico Universitario de Valladolid.
2021-0025;Queja;Contestado;2021-01-12;Servicio 012;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Problemas conciliacoón cierre centros inclmencias meteorológicas 11 enero
2021-0026;Queja;Contestado;2021-01-12;WEB;CONSEJERIA DE EDUCACION;SEGOVIA;El intersado solicita suspensión temporal de clases presnciales
2021-0027;Sugerencia;Contestado;2021-01-12;Servicio 012;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Sugerencia firo aulas León
2021-0018;Queja;Contestado;2021-01-11;WEB;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;ECLAP
2021-0022;Queja;Contestado;2021-01-11;Servicio 012;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Cierre centros inclemencias meteorológicas
2021-0024;Queja;Contestado;2021-01-11;LIBRO;GERENCIA REGIONAL DE SALUD;ZAMORA;VERGONZOSO UN SOLO PUESTO EN EL REGISTRO
2021-0019;Queja;Contestado;2021-01-11;Servicio 012;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;cierre del centro educativo por situación climatológtica
2021-0020;Queja;Contestado;2021-01-11;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;funcionamiento del Colegio con motivo de las inclemencias meterorológicas
2021-0021;Queja;Contestado;2021-01-11;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;---
2021-0023;Queja;Contestado;2021-01-11;WEB;CONSEJERIA DE EDUCACION;AVILA;QUEJA POR SUSPENSIÓN DE CLASES DEBIDO POR LA METEOROLOGÍA
2021-0017;Queja;Anulada;2021-01-10;WEB;CONSEJERIA DE EDUCACION;AVILA;ANULADA POR SER IGUAL
2021-0015;Queja;Anulada;2021-01-09;WEB;;VALLADOLID;Anulada por ser repetida
2021-0016;Queja;Anulada;2021-01-09;WEB;;VALLADOLID;Anulada por ser repetida
2021-0013;Queja;Anulada;2021-01-09;WEB;;VALLADOLID;Anulada por ser repetida
2021-0014;Queja;Anulada;2021-01-09;WEB;;VALLADOLID;Anulada por ser repetida
2021-0011;Queja;Anulada;2021-01-08;WEB;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SERVICIOS CENTRALES;
2021-0012;Queja;Prestacional;2021-01-08;WEB;GERENCIA REGIONAL DE SALUD;BURGOS;Atención de forma desagradable
2021-0008;Queja;Contestado;2021-01-07;LIBRO;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;LEÓN;Imposiblidad de conectarse a internet para renovación licencia de caza e imposibilidad de tramitación en ventanilla ya que está cerrada
2021-0009;Queja;Contestado;2021-01-07;LIBRO;CONSEJERIA DE ECONOMIA Y HACIENDA;LEÓN;Tramitación impuesto sucesiones
2021-0010;Sugerencia;Contestado;2021-01-07;WEB;CONSEJERIA DE SANIDAD;SALAMANCA;apertura de un establecimiento con escasas medidas sanitarias, entre otras
2021-0007;Queja;Contestado;2021-01-06;WEB;CONSEJERIA DE FAMILIA E IGUALDAD DE OPORTUNIDADES;SERVICIOS CENTRALES;Retraso en la expedición de título de ocio y tiempo libre
2021-0005;Queja;Contestado;2021-01-05;WEB;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;ingenieros técnicos forestales
2021-0006;Queja;Inadmitida;2021-01-05;WEB;CONSEJERIA DE INDUSTRIA, COMERCIO Y EMPLEO;ZAMORA;TRAS HABER REPOSTADO GASOLINA EN LA GASOLINERA MORA OIL NO ME ENTREGÓ PRUEBA DEL SERVICIO
2021-0002;Queja;Contestado;2021-01-04;ESCRITO;GERENCIA DE SERVICIOS SOCIALES;BURGOS;Queja por la no desinfección de muebles de atención al público
2021-0004;Queja;Inadmitida;2021-01-04;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SORIA;
2021-0003;Queja;Contestado;2021-01-04;ESCRITO;SERVICIO PUBLICO DE EMPLEO;PALENCIA;Desacuerdo con la organización establecida
2021-0001;Queja;Contestado;2021-01-02;WEB;CONSEJERIA DE CULTURA Y TURISMO;SALAMANCA;No se ha atendido a una petición de Información
2020-0968;Queja;Remitido Órgano;2020-12-31;Servicio 012;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;Suscripación
2020-0964;Queja;Contestado;2020-12-30;ESCRITO;CONSEJERIA DE ECONOMIA Y HACIENDA;LEÓN;Registro solicitud fuera horario
2020-0965;Queja;Remitido a Cons/DT;2020-12-30;WEB;GERENCIA DE SERVICIOS SOCIALES;AVILA;
2020-0966;Queja;Remitido a Cons/DT;2020-12-30;WEB;CONSEJERIA DE SANIDAD;AVILA;
2020-0967;Sugerencia;Contestado;2020-12-30;WEB;CONSEJERIA DE TRANSPARENCIA, ORDENACION DEL TERRITORIO Y ACCION EXTERIOR;SERVICIOS CENTRALES;Enlace directo a registro electrónico
2020-0963;Queja;Anulada;2020-12-30;ESCRITO;CONSEJERIA DE ECONOMIA Y HACIENDA;LEÓN;ANULADA: Por ser igual a la queja  que ya está tramitada y contestada
2020-0959;Queja;Contestado;2020-12-29;WEB;CONSEJERIA DE CULTURA Y TURISMO;SALAMANCA;Desacuerdo con bases convocatoria subvencion, en lo referente a destinatarios
2020-0961;Queja;Contestado;2020-12-29;LIBRO;CONSEJERIA DE CULTURA Y TURISMO;SEGOVIA;La interesada se queja de frio en la biblioteca
2020-0962;Queja;Contestado;2020-12-29;ESCRITO;CONSEJERIA DE ECONOMIA Y HACIENDA;SALAMANCA;Queja en relación atención recibida funcionaria mesa 38 de Hacienda
2020-0958;Queja;Contestado;2020-12-29;WEB;CONSEJERIA DE EMPLEO E INDUSTRIA;VALLADOLID;DESACUERDO DISTRIBUIDORA LINEA AT 22697
2020-0960;Queja;Contestado;2020-12-29;WEB;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;bolsa
2020-0956;Queja;Contestado;2020-12-28;Servicio 012;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;Solicitud de audas on line
2020-0957;Queja;Contestado;2020-12-28;ESCRITO;SERVICIO PUBLICO DE EMPLEO;ZAMORA;LA PERSONA DE INFORMACIÓN SE DIRIGIÓ A MI EXALTADA, NO ESCUCHÁNDOME, DE MALAS MANERAS
2020-0955;Queja;Contestado;2020-12-27;BUZON;CONSEJERIA DE ECONOMIA Y HACIENDA;VALLADOLID;Mal trato recibido por parte de un funcionario del registro por negarse a facilitar recibo acreditativo de la documentacion presentada
2020-0954;Sugerencia;Inadmitida;2020-12-24;WEB;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;alegaciones a la Ley de Patrimonio
2020-0953;Sugerencia;Anulada;2020-12-24;WEB;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;SE ANULA POR ESTAR REPETIDA, SU OBJETO SE ENCUENTRA CONTENIDO EN LA SUGERENCIA Nº
2020-0952;Queja;Contestado;2020-12-23;ESCRITO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;PALENCIA;Atención no presencial en Servicio T. de Agricultura y Ganadería de Palencia
2020-0951;Queja;Contestado;2020-12-22;WEB;CONSEJERIA DE EDUCACION;BURGOS;Queja por el comportamiento del Centro Escolar Princesa de España
2020-0950;Queja;Contestado;2020-12-21;Servicio 012;GERENCIA DE SERVICIOS SOCIALES;VALLADOLID;CITA PREVIA
2020-0948;Queja;Contestado;2020-12-21;Servicio 012;CONSEJERIA DE EMPLEO E INDUSTRIA;VALLADOLID;Retraso y pérdida de documentación en solicitud de ayuda ERTE
2020-0949;Queja;Contestado;2020-12-21;WEB;GERENCIA REGIONAL DE SALUD;LEÓN;Retraso resonancia cerebral con fondo de ojo
2020-0942;Queja;Contestado;2020-12-20;WEB;CONSEJERIA DE EDUCACION;PALENCIA;Queja por curso a distancia de F.P. de Desarrollo de aplicaciones Multiplataformas en el CIFP Camino de la Miranda
2020-0944;Queja;Contestado;2020-12-20;WEB;CONSEJERIA DE EDUCACION;BURGOS;Queja por el comportamiento del Centro Escolar Princesa de España
2020-0943;Queja;Contestado;2020-12-20;WEB;CONSEJERIA DE EDUCACION;BURGOS;Queja por el comportamiento del Centro Escolar Princesa de España
2020-0947;Queja;Remitido a Cons/DT;2020-12-20;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;AVILA;
2020-0945;Queja;Contestado;2020-12-20;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;---
2020-0946;Queja;Remitido a Cons/DT;2020-12-20;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;AVILA;
2020-0940;Queja;Remitido Órgano;2020-12-19;Servicio 012;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;acreditación competencia lingüística
2020-0939;Queja;Contestado;2020-12-19;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;---
2020-0941;Sugerencia;Anulada;2020-12-19;WEB;CONSEJERIA DE LA PRESIDENCIA;BURGOS;Se tramita a través de la queja Q-      el texto es el mismo
2020-0936;Queja;Contestado;2020-12-18;WEB;GERENCIA DE SERVICIOS SOCIALES;LEÓN;Gestión residencia Los Rosales de Carbajal de la Legua
2020-0937;Queja;Contestado;2020-12-18;LIBRO;GERENCIA DE SERVICIOS SOCIALES;LEÓN;No arreglo situaciones desamparo
2020-0938;Queja;Contestado;2020-12-18;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;--
2020-0934;Queja;Contestado;2020-12-17;LIBRO;CONSEJERIA DE ECONOMIA Y HACIENDA;SERVICIOS CENTRALES;Queja por tener que pagar un recargo, habiendo solicitado cita en plazo y se la otorgan una vez vencido el plazo
2020-0935;Queja;Contestado;2020-12-17;WEB;CONSEJERIA DE LA PRESIDENCIA;SERVICIOS CENTRALES;certificado servicios previos
2020-0931;Queja;Inadmitida;2020-12-16;WEB;CONSEJERIA DE EDUCACION;VALLADOLID;
2020-0932;Queja;Prestacional;2020-12-16;WEB;CONSEJERIA DE SANIDAD;PALENCIA;
2020-0933;Sugerencia;Anulada;2020-12-16;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;anula a petición del ciudadano por haber presentado queja con el mismo tema.
2020-0928;Queja;Contestado;2020-12-16;Servicio 012;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;SEDE ELECTRÓNICA JCYL
2020-0929;Queja;Contestado;2020-12-16;Servicio 012;CONSEJERIA DE EDUCACION;VALLADOLID;AUTOBUS ESCOLAR
2020-0930;Queja;Contestado;2020-12-16;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;Hospital Palencia
2020-0924;Queja;Contestado;2020-12-15;Servicio 012;CONSEJERIA DE EMPLEO E INDUSTRIA;SERVICIOS CENTRALES;QUEJA
2020-0925;Queja;Contestado;2020-12-15;WEB;CONSEJERIA DE CULTURA Y TURISMO;VALLADOLID;MAL FUNCIONAMIENTO INTERNET
2020-0926;Queja;Contestado;2020-12-15;ESCRITO;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;INSTALACIÓND E RESALTES EN CARRETERA ZA-513 MUNICIPIO DE VALDESCORRIEL
2020-0927;Queja;Contestado;2020-12-15;LIBRO;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;ZAMORA;NO ENTIENDO COMO NOS TIENEN EN LA CALLE CON EL FRÍO QUE HACE
2020-0920;Queja;Contestado;2020-12-14;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SEGOVIA;El iteresado se queja de no tener plaza en la línea Segovia-madrid
2020-0921;Queja;Contestado;2020-12-14;ESCRITO;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;PALENCIA;Solicita que haya atención presencial en las oficinas de Servicio Territorial de Transportes de Palencia
2020-0922;Queja;Inadmitida;2020-12-14;WEB;CONSEJERIA DE LA PRESIDENCIA;SORIA;
2020-0923;Sugerencia;Contestado;2020-12-14;Servicio 012;CONSEJERIA DE AGRICULTURA  GANADERIA Y DESARROLLO RURAL;SERVICIOS CENTRALES;Incidencias en el aplicativo MOGA
2020-0919;Queja;Contestado;2020-12-12;WEB;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;ACCESO CON BOLSO A LA SALA DE INVESTIGADORES
2020-0915;Queja;Contestado;2020-12-11;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;tramitación electrónica de ayudas para estudios no universitarios
2020-0918;Queja;Contestado;2020-12-11;WEB;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;USO DE MASCARILLAS
2020-0916;Queja;Contestado;2020-12-11;WEB;GERENCIA DE SERVICIOS SOCIALES;SALAMANCA;queja sobre funcionamiento plataformas de comunicación telemática con residentes de la residencia San Juan de Sahagún
2020-0917;Queja;Contestado;2020-12-11;LIBRO;CONSEJERIA DE ECONOMIA Y HACIENDA;SERVICIOS CENTRALES;Imposible acceder al portal virtual de la Junta de Castilla y León
2020-0914;Queja;Contestado;2020-12-11;Servicio 012;CONSEJERIA DE EMPLEO E INDUSTRIA;SERVICIOS CENTRALES;QUEJA 2020/
2020-0909;Queja;Contestado;2020-12-10;WEB;GERENCIA REGIONAL DE SALUD;LEÓN;Incumplimiento medidas seguridad Covid
2020-0910;Queja;Contestado;2020-12-10;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;Solicitud de becas para esatudios de formación profesional
2020-0912;Sugerencia;Contestado;2020-12-10;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;---
2020-0913;Sugerencia;Contestado;2020-12-10;Servicio 012;CONSEJERIA DE TRANSPARENCIA, ORDENACION DEL TERRITORIO Y ACCION EXTERIOR;SERVICIOS CENTRALES;mapa de movilidad
2020-0908;Queja;Contestado;2020-12-10;Servicio 012;CONSEJERIA DE ECONOMIA Y HACIENDA;SALAMANCA;trado inadecuado a persona con minusvalía
2020-0911;Queja;Contestado;2020-12-10;WEB;CONSEJERIA DE EDUCACION;VALLADOLID;BECA ESTUDIOS
2020-0907;Queja;Contestado;2020-12-09;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;LEÓN;Gestión actuación maquinas quitanieves
2020-0906;Queja;Contestado;2020-12-09;Servicio 012;GERENCIA REGIONAL DE SALUD;SERVICIOS CENTRALES;incidencia sistema informático bolsa abierta y permanente
2020-0903;Queja;Contestado;2020-12-04;WEB;CONSEJERIA DE FOMENTO Y MEDIO AMBIENTE;SERVICIOS CENTRALES;Humos producidos por quema de restos vegetales
2020-0904;Queja;Contestado;2020-12-04;WEB;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;PUERTA PERMANENTEMENTE ABIERTA EN ZONA PUESTO 57
2020-0902;Queja;Contestado;2020-12-04;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;------
2020-0905;Queja;Remitido Órgano;2020-12-04;WEB;GERENCIA DE SERVICIOS SOCIALES;LEÓN;Asistencia domiciliaria
2020-0899;Queja;Contestado;2020-12-03;WEB;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;HACE FRIO EN LA SALA DE LECTURA
2020-0900;Queja;Contestado;2020-12-03;WEB;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;FRIO EN LA BIBLIOTECA
2020-0901;Queja;Contestado;2020-12-03;WEB;CONSEJERIA DE CULTURA Y TURISMO;SERVICIOS CENTRALES;FRIO EN SALA LECTURA Y RESERVA SITIO SALA LECTURA
2020-0896;Queja;Anulada;2020-12-03;WEB;CONSEJERIA DE FAMILIA E IGUALDAD DE OPORTUNIDADES;LEÓN;Anulada por inconcreción hechos. Presentada de nuevo
2020-0897;Queja;Contestado;2020-12-03;WEB;CONSEJERIA DE EDUCACION;SERVICIOS CENTRALES;tramitación electrónico de dispositivos digitales
2020-0898;Queja;Contestado;2020-12-03;Servicio 012;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;----
2020-0891;Queja;Anulada;2020-12-02;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;cierres perimetrales de ciudades de Castilla y León
2020-0889;Queja;Anulada;2020-12-02;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;
2020-0890;Queja;Anulada;2020-12-02;WEB;CONSEJERIA DE SANIDAD;SERVICIOS CENTRALES;
